date,ticker,status,is_buy,size,price,value,commission
2023-12-19,BRSAN,Completed,False,-147.0,599.0,99813.0,0.0
2023-12-25,SKBNK,Completed,False,-14337.0,6.170178493941465,100416.14919832018,0.0
2024-01-03,OTKAR,Completed,False,-257.0,416.9588915092783,100631.34353314887,0.0
2024-01-03,BRSAN,Completed,True,153.0,680.0,104040.0,0.0
2024-01-03,ANSGR,Completed,True,6925.0,14.44019125260524,99998.32442429129,0.0
2024-01-03,TTRAK,Completed,True,167.0,597.8548926999266,99841.76708088774,0.0
2024-01-03,CCOLA,Completed,True,199.0,502.37855260512407,99973.33196841969,0.0
2024-01-03,DOAS,Completed,True,560.0,178.49142387265067,99955.19736868437,0.0
2024-01-03,AKBNK,Completed,True,3013.0,33.18900001972888,99998.45705944311,0.0
2024-01-03,GARAN,Completed,True,1916.0,51.94622381201088,99528.96482381284,0.0
2024-01-03,YKBNK,Completed,True,5280.0,18.918538631535608,99889.883974508,0.0
2024-01-10,BRSAN,Completed,False,-153.0,598.0,104040.0,0.0
2024-02-02,CCOLA,Completed,False,-199.0,536.0629180520502,99973.33196841969,0.0
2024-02-02,DOAS,Completed,False,-560.0,194.94064712181677,99955.19736868437,0.0
2024-02-02,TUPRS,Completed,False,-902.0,118.63519287109376,100531.91526582799,0.0
2024-02-02,BRSAN,Completed,True,159.0,632.5,100567.5,0.0
2024-02-02,AKCNS,Completed,True,577.0,175.60187106662326,101322.27960544162,0.0
2024-02-02,BIMAS,Completed,True,558.0,180.39101781281823,100658.18793955258,0.0
2024-02-02,TKNSA,Completed,True,2531.0,40.09999847412109,101493.09613800047,0.0
2024-02-15,MGROS,Completed,False,-300.0,433.1320165428941,102809.35250522102,0.0
2024-02-27,TKNSA,Completed,False,-2531.0,53.45000076293945,101493.09613800047,0.0
2024-02-29,AKCNS,Completed,False,-577.0,154.47177034534016,101322.27960544162,0.0
2024-03-04,AKBNK,Completed,False,-3013.0,36.71317362650596,99998.45705944311,0.0
2024-03-04,BIMAS,Completed,False,-558.0,182.54422217975036,100658.18793955258,0.0
2024-03-04,MGROS,Completed,True,214.0,469.7816419963596,100533.27138722096,0.0
2024-03-04,TKNSA,Completed,True,2025.0,49.36000061035156,99954.00123596191,0.0
2024-03-04,ANELE,Completed,True,6116.0,16.350000381469727,99996.60233306885,0.0
2024-03-04,CCOLA,Completed,True,167.0,596.6947897886619,99648.02989470653,0.0
2024-03-04,CLEBI,Completed,True,82.0,1223.0499568665657,100290.09646305839,0.0
2024-03-08,TTRAK,Completed,False,-167.0,771.9460615493927,99841.76708088774,0.0
2024-03-18,CCOLA,Completed,False,-167.0,536.5441501376865,99648.02989470653,0.0
2024-03-22,YKBNK,Completed,False,-5280.0,24.841363466573,99889.883974508,0.0
2024-03-25,MGROS,Completed,False,-214.0,415.9971116885301,100533.27138722096,0.0
2024-03-25,TKNSA,Completed,False,-2025.0,42.02000045776367,99954.00123596191,0.0
2024-04-01,CLEBI,Completed,False,-82.0,1586.585452861686,100290.09646305839,0.0
2024-04-02,GARAN,Completed,False,-1916.0,64.74307827846464,99528.96482381284,0.0
2024-04-02,TTRAK,Completed,True,119.0,836.2756687581473,99516.80458221953,0.0
2024-04-02,CLEBI,Completed,True,57.0,1807.629587544364,103034.88649002876,0.0
2024-04-02,AKENR,Completed,True,7158.0,14.859999656677246,106367.87754249573,0.0
2024-04-02,DOAS,Completed,True,447.0,223.9892538265306,100123.19646045918,0.0
2024-04-02,YKBNK,Completed,True,3671.0,27.294831472082283,100199.32633401405,0.0
2024-04-02,CCOLA,Completed,True,173.0,588.0330442914153,101729.71666241485,0.0
2024-04-02,AKBNK,Completed,True,2207.0,45.47549958048454,100364.42757412938,0.0
2024-04-04,CLEBI,Completed,False,-57.0,1619.4680520559998,103034.88649002876,0.0
2024-04-08,ANSGR,Completed,False,-6925.0,18.3174398602663,99998.32442429129,0.0
2024-04-16,AKENR,Completed,False,-7158.0,20.81999969482422,106367.87754249573,0.0
2024-04-16,ANELE,Completed,False,-6116.0,21.299999237060547,99996.60233306885,0.0
2024-04-22,AKBNK,Completed,False,-2207.0,59.66408855982016,100364.42757412938,0.0
2024-05-03,DOAS,Completed,False,-447.0,226.86366138490973,100123.19646045918,0.0
2024-05-03,ANSGR,Completed,True,4859.0,20.693816621424787,100551.25496350304,0.0
2024-05-03,AKENR,Completed,True,5200.0,19.11000061035156,99372.00317382811,0.0
2024-05-03,CLEBI,Completed,True,58.0,1712.36739103869,99317.30868024401,0.0
2024-05-03,AKBNK,Completed,True,1814.0,55.49375694558604,100665.67509929308,0.0
2024-05-03,ANHYT,Completed,True,1858.0,54.203284145386746,100709.70194212858,0.0
2024-05-03,ANELE,Completed,True,4703.0,23.3799991607666,109956.13605308533,0.0
2024-05-08,ANELE,Completed,False,-4703.0,20.700000762939453,109956.13605308533,0.0
2024-05-13,BRSAN,Completed,False,-159.0,568.0,100567.5,0.0
2024-05-14,AKENR,Completed,False,-5200.0,17.18000030517578,99372.00317382811,0.0
2024-05-20,CCOLA,Completed,False,-173.0,743.9437251034461,101729.71666241485,0.0
2024-05-21,YKBNK,Completed,False,-3671.0,34.540000915527344,100199.32633401405,0.0
2024-05-23,ANHYT,Completed,False,-1858.0,71.38968562508771,100709.70194212858,0.0
2024-06-03,ANSGR,Completed,False,-4859.0,26.378932926982632,100551.25496350304,0.0
2024-06-04,ANSGR,Completed,True,3717.0,27.061145519600917,100586.27789635661,0.0
2024-06-04,ANHYT,Completed,True,1169.0,85.57949332054658,100042.42769171894,0.0
2024-06-04,GARAN,Completed,True,993.0,100.65995801749352,99955.33831137107,0.0
2024-06-04,AKENR,Completed,True,6596.0,15.18000030517578,100127.28201293944,0.0
2024-06-04,ISCTR,Completed,True,6412.0,15.593575850941363,99986.00835623602,0.0
2024-06-04,YKBNK,Completed,True,3041.0,32.880001068115234,99988.08324813843,0.0
2024-06-04,CCOLA,Completed,True,129.0,770.626483386076,99410.8163568038,0.0
2024-06-14,ANHYT,Completed,False,-1169.0,117.22010744002692,100042.42769171894,0.0
2024-06-21,CLEBI,Completed,False,-58.0,2251.867286712525,99317.30868024401,0.0
