entry_date,exit_date,ticker,bars,pnl,pnl_net
2023-10-03,2023-11-14,AKCNS,30,-13834.72261106788,-13834.72261106788
2023-11-02,2023-11-14,CIMSA,8,-11121.351986175261,-11121.351986175261
2023-10-03,2023-11-27,ANSGR,39,26065.07267960207,26065.07267960207
2023-10-03,2023-11-30,BRSAN,42,-13274.103149414062,-13274.103149414062
2023-10-03,2023-12-06,DOAS,46,-10487.056200921179,-10487.056200921179
2023-11-02,2023-12-07,TTRAK,25,-10732.924297185173,-10732.924297185173
2023-12-04,2023-12-13,ANSGR,7,-11845.59574471604,-11845.59574471604
2023-12-04,2023-12-13,CIMSA,7,-10798.736455304672,-10798.736455304672
2023-12-04,2023-12-14,FROTO,8,-9232.78752422058,-9232.78752422058
2023-12-04,2023-12-19,BRSAN,11,-11760.0,-11760.0
2023-12-04,2023-12-25,SKBNK,15,-11954.300130681402,-11954.300130681402
2023-11-02,2024-01-03,OTKAR,43,6527.091584735648,6527.091584735648
2024-01-03,2024-01-10,BRSAN,5,-12546.0,-12546.0
2024-01-03,2024-02-02,CCOLA,22,6703.188723938307,6703.188723938307
2024-01-03,2024-02-02,DOAS,22,9211.565019533013,9211.565019533013
2023-11-02,2024-02-02,TUPRS,65,6477.028703898587,6477.028703898587
2023-11-02,2024-02-15,MGROS,74,27130.25245764722,27130.25245764722
2024-02-02,2024-02-27,TKNSA,17,33788.85579299928,33788.85579299928
2024-02-02,2024-02-29,AKCNS,19,-12192.068116180348,-12192.068116180348
2024-01-03,2024-03-04,AKBNK,43,10618.335077219352,10618.335077219352
2024-02-02,2024-03-04,BIMAS,21,1201.4880367481283,1201.4880367481283
2024-01-03,2024-03-08,TTRAK,47,29073.22519786083,29073.22519786083
2024-03-04,2024-03-18,CCOLA,10,-10045.15682171288,-10045.15682171288
2024-01-03,2024-03-22,YKBNK,57,31272.51512899743,31272.51512899743
2024-03-04,2024-03-25,MGROS,15,-11509.88948587552,-11509.88948587552
2024-03-04,2024-03-25,TKNSA,15,-14863.500308990479,-14863.500308990479
2024-03-04,2024-04-01,CLEBI,20,29809.910671599864,29809.910671599864
2024-01-03,2024-04-02,GARAN,64,24518.7731577254,24518.7731577254
2024-04-02,2024-04-04,CLEBI,2,-10725.207522836778,-10725.207522836778
2024-01-03,2024-04-08,ANSGR,68,26849.946608052847,26849.946608052847
2024-04-02,2024-04-16,AKENR,6,42661.68027305603,42661.68027305603
2024-03-04,2024-04-16,ANELE,27,30274.193000793457,30274.193000793457
2024-04-02,2024-04-22,AKBNK,10,31314.21587739371,31314.21587739371
2024-04-02,2024-05-03,DOAS,17,1284.860178595466,1284.860178595466
2024-05-03,2024-05-08,ANELE,3,-12604.03246498108,-12604.03246498108
2024-02-02,2024-05-13,BRSAN,65,-10255.5,-10255.5
2024-05-03,2024-05-14,AKENR,7,-10036.001586914044,-10036.001586914044
2024-04-02,2024-05-20,CCOLA,29,26972.54778048133,26972.54778048133
2024-04-02,2024-05-21,YKBNK,29,26597.017026886817,26597.017026886817
2024-05-03,2024-05-23,ANHYT,14,31932.333949284388,31932.333949284388
2024-05-03,2024-06-03,ANSGR,21,27623.980128705567,27623.980128705567
2024-06-04,2024-06-14,ANHYT,8,36987.877905672525,36987.877905672525
2024-05-03,2024-06-21,CLEBI,32,31290.993949082444,31290.993949082444
2024-06-04,2024-06-24,ANSGR,11,-11411.049775428372,-11411.049775428372
2024-06-04,2024-07-02,ISCTR,17,-7271.708342049228,-7271.708342049228
2024-06-04,2024-07-02,YKBNK,17,-912.297679901123,-912.297679901123
2024-06-04,2024-07-08,AKENR,21,-11674.923019409169,-11674.923019409169
2024-04-02,2024-07-23,TTRAK,70,-10631.682464954034,-10631.682464954034
2024-07-02,2024-07-29,CLEBI,18,-11264.080483571823,-11264.080483571823
2024-07-02,2024-07-31,ANHYT,20,-12387.438452743216,-12387.438452743216
2024-06-04,2024-08-02,CCOLA,39,-89808.63474789103,-89808.63474789103
2024-07-02,2024-08-06,ANSGR,24,-8760.551854334242,-8760.551854334242
2024-08-02,2024-08-07,ANHYT,3,-10499.135892896236,-10499.135892896236
2024-08-02,2024-08-09,BIMAS,5,-10039.516161261192,-10039.516161261192
2024-08-02,2024-08-21,BANVT,13,27104.0,27104.0
2024-08-02,2024-08-23,CLEBI,15,-10825.079341851564,-10825.079341851564
2024-07-02,2024-08-26,ULKER,38,-11249.287079120493,-11249.287079120493
2024-07-02,2024-09-05,AEFES,45,-12019.50064151456,-12019.50064151456
2024-09-03,2024-09-11,YKBNK,6,-10463.042999267578,-10463.042999267578
2024-09-03,2024-10-02,ULKER,21,-14439.98984676419,-14439.98984676419
2024-09-03,2024-10-03,CLEBI,22,-11878.480481071028,-11878.480481071028
2024-05-03,2024-10-04,AKBNK,105,-11003.585768132878,-11003.585768132878
2024-10-02,2024-10-08,TTKOM,4,-10332.522804260254,-10332.522804260254
2024-10-02,2024-10-11,YKBNK,7,-10773.344449996948,-10773.344449996948
2024-09-03,2024-10-14,AKENR,29,-10646.09548759459,-10646.09548759459
2024-09-03,2024-10-14,BANVT,29,-10256.5,-10256.5
2024-09-03,2024-10-22,ANHYT,35,-12398.192363536984,-12398.192363536984
2024-10-02,2024-11-04,AEFES,22,-984.904284173454,-984.904284173454
2024-09-03,2024-11-04,ANSGR,43,5780.824775083228,5780.824775083228
2023-04-04,2024-11-04,DOCO,394,-165691.72926317254,-165691.72926317254
2024-06-04,2024-11-04,GARAN,103,-3129.3546257376715,-3129.3546257376715
2024-10-02,2024-11-04,ULKER,22,6141.89641338879,6141.89641338879
2025-02-04,2025-02-19,TSKB,11,-9719.618396710339,-9719.618396710339
2025-02-04,2025-02-24,TRGYO,14,-10256.614983368849,-10256.614983368849
2025-02-04,2025-02-26,AKENR,16,-12733.594756126391,-12733.594756126391
2025-02-04,2025-03-04,AKBNK,20,13708.76142124277,13708.76142124277
2025-02-04,2025-03-04,ANHYT,20,1959.256941074833,1959.256941074833
2025-02-04,2025-03-04,ANSGR,20,-2597.2347762288327,-2597.2347762288327
2025-02-04,2025-03-04,BANVT,20,-7569.0,-7569.0
2025-02-04,2025-03-04,CLEBI,20,7833.658188070491,7833.658188070491
2025-02-04,2025-03-04,GARAN,20,9621.09574661578,9621.09574661578
2025-02-04,2025-03-04,VAKBN,20,2884.960868835449,2884.960868835449
2025-07-02,2025-08-01,ASELS,21,26252.54799259354,26252.54799259354
2025-07-02,2025-08-04,CIMSA,22,2181.734441277676,2181.734441277676
2025-07-02,2025-09-02,ANSGR,43,-4859.627489365872,-4859.627489365872
2025-07-02,2025-09-02,SELEC,43,-6179.439417126543,-6179.439417126543
2025-07-02,2025-09-03,TKFEN,44,-9972.190225107866,-9972.190225107866
2025-08-04,2025-09-04,HALKB,23,-13198.557563781751,-13198.557563781751
2025-09-02,2025-09-12,SKBNK,8,-13979.335676193237,-13979.335676193237
2025-09-02,2025-09-30,VAKBN,20,-10533.603172302246,-10533.603172302246
2025-10-02,2025-10-07,HALKB,3,-10911.479473114014,-10911.479473114014
2025-07-02,2025-10-15,GARAN,74,-12255.930337488262,-12255.930337488262
2025-10-02,2025-10-17,ECILC,11,28115.274976776487,28115.274976776487
2025-11-04,2025-11-28,HALKB,18,26966.87184906006,26966.87184906006
2025-11-04,2025-12-02,ANHYT,20,-6008.74817227662,-6008.74817227662
2025-12-02,2025-12-17,HALKB,11,-12708.95883178711,-12708.95883178711
2025-07-02,2026-01-05,ALBRK,130,-122.54664600820665,-122.54664600820665
2025-07-02,2026-01-05,TRGYO,130,5467.965429323535,5467.965429323535
2025-08-04,2026-01-06,ASELS,109,29233.889551866105,29233.889551866105
2025-07-02,2026-01-19,EKGYO,140,29186.414871215802,29186.414871215802
2025-11-04,2026-01-23,ECILC,57,38440.40937424944,38440.40937424944
2025-10-02,2026-01-29,TRCAS,83,27854.167329135424,27854.167329135424
2025-10-02,2026-02-02,SKBNK,85,28797.286687850952,28797.286687850952
2026-01-05,2026-02-03,AKSEN,21,6819.695571899414,6819.695571899414
2025-12-02,2026-02-03,GARAN,44,12734.961785561953,12734.961785561953
2026-01-05,2026-02-03,VAKBN,21,13570.797592163086,13570.797592163086
2026-01-05,2026-02-16,HALKB,30,28689.63366699217,28689.63366699217
2026-02-03,2026-02-19,SKBNK,12,28586.39260673523,28586.39260673523
2026-02-03,2026-03-03,EKGYO,20,-11100.542741775513,-11100.542741775513
2026-02-03,2026-03-03,AKBNK,20,-10108.801322851508,-10108.801322851508
2026-02-03,2026-03-03,ANHYT,20,-5801.43864232721,-5801.43864232721
2025-07-02,2026-03-03,SNGYO,171,0.0,0.0
2026-02-03,2026-03-03,TUPRS,20,-522.1874187409752,-522.1874187409752
2026-03-03,2026-03-05,HALKB,2,-13991.037231445312,-13991.037231445312
2026-03-03,2026-03-05,VAKBN,2,-9749.760387420654,-9749.760387420654
2026-03-03,2026-03-17,TRCAS,10,-12567.031129476565,-12567.031129476565
2026-02-03,2026-04-13,ASELS,48,31468.5,31468.5
2026-02-03,2026-04-15,ECILC,50,-13929.900699901584,-13929.900699901584
2026-04-02,2026-05-05,ANHYT,21,-446.0,-446.0
2026-03-03,2026-05-07,TRGYO,44,26695.472187046646,26695.472187046646
2026-03-03,2026-05-08,SKBNK,45,28033.923065185547,28033.923065185547
2026-02-03,2026-05-12,GUBRF,67,24205.0,24205.0
2026-05-05,2026-05-22,ASELS,12,-14379.75,-14379.75
