date,cash,value
2024-12-31,1658054.2246868603,1658054.2246868603
2025-01-02,1658054.2246868603,1658054.2246868603
2025-01-03,1658054.2246868603,1658054.2246868603
2025-01-06,1658054.2246868603,1658054.2246868603
2025-01-07,1658054.2246868603,1658054.2246868603
2025-01-08,1658054.2246868603,1658054.2246868603
2025-01-09,1658054.2246868603,1658054.2246868603
2025-01-10,1658054.2246868603,1658054.2246868603
2025-01-13,1658054.2246868603,1658054.2246868603
2025-01-14,1658054.2246868603,1658054.2246868603
2025-01-15,1658054.2246868603,1658054.2246868603
2025-01-16,1658054.2246868603,1658054.2246868603
2025-01-17,1658054.2246868603,1658054.2246868603
2025-01-20,1658054.2246868603,1658054.2246868603
2025-01-21,1658054.2246868603,1658054.2246868603
2025-01-22,1658054.2246868603,1658054.2246868603
2025-01-23,1658054.2246868603,1658054.2246868603
2025-01-24,1658054.2246868603,1658054.2246868603
2025-01-27,1658054.2246868603,1658054.2246868603
2025-01-28,1658054.2246868603,1658054.2246868603
2025-01-29,1658054.2246868603,1658054.2246868603
2025-01-30,1658054.2246868603,1658054.2246868603
2025-01-31,1658054.2246868603,1658054.2246868603
2025-02-03,1658054.2246868603,1658054.2246868603
2025-02-04,657692.5383154422,1671645.0721174746
2025-02-05,657692.5383154422,1652671.8152081042
2025-02-06,657692.5383154422,1655626.2132898837
2025-02-07,657692.5383154422,1657118.188314107
2025-02-10,657692.5383154422,1652620.7276569873
2025-02-11,657692.5383154422,1660908.3955732852
2025-02-12,657692.5383154422,1644381.9404503375
2025-02-13,657692.5383154422,1651950.5208088427
2025-02-14,657692.5383154422,1648331.5834929019
2025-02-17,657692.5383154422,1648320.6981026202
2025-02-18,657692.5383154422,1662699.2438704043
2025-02-19,748261.7085965192,1650875.1373646772
2025-02-20,748261.7085965192,1664406.3981421506
2025-02-21,748261.7085965192,1645939.90043383
2025-02-24,838224.3832755636,1637152.8212247442
2025-02-25,838224.3832755636,1624694.0360684942
2025-02-26,925767.8860354971,1633705.1300426077
2025-02-27,925767.8860354971,1636792.8010650228
2025-02-28,925767.8860354971,1630255.1061187338
2025-03-03,925767.8860354971,1649234.4303031515
2025-03-04,1651185.8949402655,1651185.8949402655
2025-03-05,1651185.8949402655,1651185.8949402655
2025-03-06,1651185.8949402655,1651185.8949402655
2025-03-07,1651185.8949402655,1651185.8949402655
2025-03-10,1651185.8949402655,1651185.8949402655
2025-03-11,1651185.8949402655,1651185.8949402655
2025-03-12,1651185.8949402655,1651185.8949402655
2025-03-13,1651185.8949402655,1651185.8949402655
2025-03-14,1651185.8949402655,1651185.8949402655
2025-03-17,1651185.8949402655,1651185.8949402655
2025-03-18,1651185.8949402655,1651185.8949402655
2025-03-19,1651185.8949402655,1651185.8949402655
2025-03-20,1651185.8949402655,1651185.8949402655
2025-03-21,1651185.8949402655,1651185.8949402655
2025-03-24,1651185.8949402655,1651185.8949402655
2025-03-25,1651185.8949402655,1651185.8949402655
2025-03-26,1651185.8949402655,1651185.8949402655
2025-03-27,1651185.8949402655,1651185.8949402655
2025-03-28,1651185.8949402655,1651185.8949402655
2025-04-02,1651185.8949402655,1651185.8949402655
2025-04-03,1651185.8949402655,1651185.8949402655
2025-04-04,1651185.8949402655,1651185.8949402655
2025-04-07,1651185.8949402655,1651185.8949402655
2025-04-08,1651185.8949402655,1651185.8949402655
2025-04-09,1651185.8949402655,1651185.8949402655
2025-04-10,1651185.8949402655,1651185.8949402655
2025-04-11,1651185.8949402655,1651185.8949402655
2025-04-14,1651185.8949402655,1651185.8949402655
2025-04-15,1651185.8949402655,1651185.8949402655
2025-04-16,1651185.8949402655,1651185.8949402655
2025-04-17,1651185.8949402655,1651185.8949402655
2025-04-18,1651185.8949402655,1651185.8949402655
2025-04-21,1651185.8949402655,1651185.8949402655
2025-04-22,1651185.8949402655,1651185.8949402655
2025-04-24,1651185.8949402655,1651185.8949402655
2025-04-25,1651185.8949402655,1651185.8949402655
2025-04-28,1651185.8949402655,1651185.8949402655
2025-04-29,1651185.8949402655,1651185.8949402655
2025-04-30,1651185.8949402655,1651185.8949402655
2025-05-02,1651185.8949402655,1651185.8949402655
2025-05-05,1651185.8949402655,1651185.8949402655
2025-05-06,1651185.8949402655,1651185.8949402655
2025-05-07,1651185.8949402655,1651185.8949402655
2025-05-08,1651185.8949402655,1651185.8949402655
2025-05-09,1651185.8949402655,1651185.8949402655
2025-05-12,1651185.8949402655,1651185.8949402655
2025-05-13,1651185.8949402655,1651185.8949402655
2025-05-14,1651185.8949402655,1651185.8949402655
2025-05-15,1651185.8949402655,1651185.8949402655
2025-05-16,1651185.8949402655,1651185.8949402655
2025-05-20,1651185.8949402655,1651185.8949402655
2025-05-21,1651185.8949402655,1651185.8949402655
2025-05-22,1651185.8949402655,1651185.8949402655
2025-05-23,1651185.8949402655,1651185.8949402655
2025-05-26,1651185.8949402655,1651185.8949402655
2025-05-27,1651185.8949402655,1651185.8949402655
2025-05-28,1651185.8949402655,1651185.8949402655
2025-05-29,1651185.8949402655,1651185.8949402655
2025-05-30,1651185.8949402655,1651185.8949402655
2025-06-02,1651185.8949402655,1651185.8949402655
2025-06-03,1651185.8949402655,1651185.8949402655
2025-06-04,1651185.8949402655,1651185.8949402655
2025-06-05,1651185.8949402655,1651185.8949402655
2025-06-10,1651185.8949402655,1651185.8949402655
2025-06-11,1651185.8949402655,1651185.8949402655
2025-06-12,1651185.8949402655,1651185.8949402655
2025-06-13,1651185.8949402655,1651185.8949402655
2025-06-16,1651185.8949402655,1651185.8949402655
2025-06-17,1651185.8949402655,1651185.8949402655
2025-06-18,1651185.8949402655,1651185.8949402655
2025-06-19,1651185.8949402655,1651185.8949402655
2025-06-20,1651185.8949402655,1651185.8949402655
2025-06-23,1651185.8949402655,1651185.8949402655
2025-06-24,1651185.8949402655,1651185.8949402655
2025-06-25,1651185.8949402655,1651185.8949402655
2025-06-26,1651185.8949402655,1651185.8949402655
2025-06-27,1651185.8949402655,1651185.8949402655
2025-06-30,1651185.8949402655,1651185.8949402655
2025-07-01,1651185.8949402655,1651185.8949402655
2025-07-02,650676.2916808415,1647113.1251530934
2025-07-03,650676.2916808415,1649041.4590602207
2025-07-04,650676.2916808415,1651667.8152566242
2025-07-07,650676.2916808415,1642019.0739045432
2025-07-08,650676.2916808415,1642170.270768671
2025-07-09,650676.2916808415,1649465.3840108204
2025-07-10,650676.2916808415,1666040.457132845
2025-07-11,650676.2916808415,1673108.7822947789
2025-07-14,650676.2916808415,1662334.4521756459
2025-07-16,650676.2916808415,1664234.3012767124
2025-07-17,650676.2916808415,1685119.3575520802
2025-07-18,650676.2916808415,1691307.3519749928
2025-07-21,650676.2916808415,1721320.5565009404
2025-07-22,650676.2916808415,1718883.221144228
2025-07-23,650676.2916808415,1706863.149157076
2025-07-24,650676.2916808415,1716317.713378458
2025-07-25,650676.2916808415,1715926.473436861
2025-07-28,650676.2916808415,1708837.6839108753
2025-07-29,650676.2916808415,1702835.18137887
2025-07-30,650676.2916808415,1712843.5449805546
2025-07-31,650676.2916808415,1726382.0212436009
2025-08-01,777227.0502032147,1722310.2164419997
2025-08-04,677422.7214893661,1722537.9442943893
2025-08-05,677422.7214893661,1720743.3978409134
2025-08-06,677422.7214893661,1711971.3768667541
2025-08-07,677422.7214893661,1706205.4038833939
2025-08-08,677422.7214893661,1703526.4990743957
2025-08-11,677422.7214893661,1698308.2787784897
2025-08-12,677422.7214893661,1687757.657815393
2025-08-13,677422.7214893661,1687885.5065397583
2025-08-14,677422.7214893661,1675723.104864534
2025-08-15,677422.7214893661,1676698.1874365173
2025-08-18,677422.7214893661,1674951.0596079193
2025-08-19,677422.7214893661,1673780.899077829
2025-08-20,677422.7214893661,1689655.455882486
2025-08-21,677422.7214893661,1701653.567227777
2025-08-22,677422.7214893661,1712516.9970831238
2025-08-25,677422.7214893661,1714439.701150354
2025-08-26,677422.7214893661,1718832.526879724
2025-08-27,677422.7214893661,1706413.2681497894
2025-08-28,677422.7214893661,1707418.056282457
2025-08-29,677422.7214893661,1696252.0138077103
2025-09-01,677422.7214893661,1703571.203276094
2025-09-02,665456.1708154196,1679452.2937459464
2025-09-03,755934.4271211447,1644710.0879802527
2025-09-04,843144.2668504538,1662746.6403751196
2025-09-05,843144.2668504538,1652526.6735372366
2025-09-08,843144.2668504538,1631717.5345544638
2025-09-09,843144.2668504538,1641379.3754272284
2025-09-10,843144.2668504538,1656591.481380445
2025-09-11,843144.2668504538,1629125.9018459143
2025-09-12,930294.7478112997,1631196.618491155
2025-09-15,930294.7478112997,1674689.7851648154
2025-09-16,930294.7478112997,1685558.680774671
2025-09-17,930294.7478112997,1671303.8303060355
2025-09-18,930294.7478112997,1652719.0214099707
2025-09-19,930294.7478112997,1676002.6212482275
2025-09-22,930294.7478112997,1683067.0276746573
2025-09-23,930294.7478112997,1671410.9449291052
2025-09-24,930294.7478112997,1679429.7929906668
2025-09-25,930294.7478112997,1676366.5443038763
2025-09-26,930294.7478112997,1658998.355355245
2025-09-29,930294.7478112997,1658791.0784387412
2025-09-30,1019968.944903356,1662441.4673700156
2025-10-01,1019968.944903356,1679574.8865051093
2025-10-02,619488.1933144381,1672039.9604018978
2025-10-03,619488.1933144381,1657805.6666663936
2025-10-06,619488.1933144381,1638468.5095409206
2025-10-07,709059.015158539,1638336.6362403682
2025-10-08,709059.015158539,1645571.3817805103
2025-10-09,709059.015158539,1640116.1315163425
2025-10-10,709059.015158539,1649027.356443768
2025-10-13,709059.015158539,1632761.7371162227
2025-10-14,709059.015158539,1620634.0233835033
2025-10-15,796747.2432045419,1641619.5995764215
2025-10-16,796747.2432045419,1638335.7448143442
2025-10-17,925144.1011322613,1630463.4243725415
2025-10-20,925144.1011322613,1652936.58902775
2025-10-21,925144.1011322613,1662263.700402605
2025-10-22,925144.1011322613,1672872.862219679
2025-10-23,925144.1011322613,1668594.2510264989
2025-10-24,925144.1011322613,1681580.8084272023
2025-10-27,925144.1011322613,1679729.720985281
2025-10-28,925144.1011322613,1682411.7186058636
2025-10-30,925144.1011322613,1682764.7645181294
2025-10-31,925144.1011322613,1689178.1819828625
2025-11-03,925144.1011322613,1699954.5050371762
2025-11-04,625389.4856517267,1701165.4055859996
2025-11-05,625389.4856517267,1705824.9333045436
2025-11-06,625389.4856517267,1705061.7548644496
2025-11-07,625389.4856517267,1693577.5600502444
2025-11-10,625389.4856517267,1679037.2843511058
2025-11-11,625389.4856517267,1655280.2081530048
2025-11-12,625389.4856517267,1654543.411900754
2025-11-13,625389.4856517267,1650926.3951294376
2025-11-14,625389.4856517267,1652720.256538148
2025-11-17,625389.4856517267,1680951.5752866222
2025-11-18,625389.4856517267,1680001.4328219844
2025-11-19,625389.4856517267,1692862.0821936084
2025-11-20,625389.4856517267,1698809.9094836665
2025-11-21,625389.4856517267,1692414.8508608295
2025-11-24,625389.4856517267,1696580.8280274821
2025-11-25,625389.4856517267,1691561.2713105632
2025-11-26,625389.4856517267,1698242.0435297443
2025-11-27,625389.4856517267,1704861.5571749164
2025-11-28,752192.7589061212,1704130.630094762
2025-12-01,752192.7589061212,1725057.569960351
2025-12-02,644510.0891934606,1729278.2790747853
2025-12-03,644510.0891934606,1729730.0544654103
2025-12-04,644510.0891934606,1702753.633683321
2025-12-05,644510.0891934606,1707213.7753850194
2025-12-08,644510.0891934606,1706124.8112794133
2025-12-09,644510.0891934606,1710437.296952364
2025-12-10,644510.0891934606,1703369.2828565808
2025-12-11,644510.0891934606,1701339.098199007
2025-12-12,644510.0891934606,1704623.0046187611
2025-12-15,644510.0891934606,1706530.0906549664
2025-12-16,644510.0891934606,1693008.9685393544
2025-12-17,733574.8930875036,1690210.5830022069
2025-12-18,733574.8930875036,1698970.0956755849
2025-12-19,733574.8930875036,1697344.0221806737
2025-12-22,733574.8930875036,1691391.9370428296
2025-12-23,733574.8930875036,1692444.7843004437
2025-12-24,733574.8930875036,1692439.0077382298
2025-12-24,733574.8930875036,1690757.4247776242
2025-12-26,733574.8930875036,1693566.2727891179
2025-12-29,733574.8930875036,1679200.1108332844
2025-12-30,733574.8930875036,1688069.3231021138
2025-12-31,733574.8930875036,1698331.7880002232
2026-01-02,733574.8930875036,1710862.251205084
2026-01-05,638014.3148680899,1720726.041582224
2026-01-06,768094.3148680899,1736944.6854058476
2026-01-07,768094.3148680899,1721550.9731160374
2026-01-08,768094.3148680899,1735361.4658004018
2026-01-09,768094.3148680899,1728454.0952569218
2026-01-12,768094.3148680899,1747534.9501887532
2026-01-13,768094.3148680899,1754349.7546111317
2026-01-14,768094.3148680899,1745629.1431161137
2026-01-15,768094.3148680899,1765831.6460944386
2026-01-16,768094.3148680899,1775315.4711400243
2026-01-19,897388.4744406912,1793099.4728556843
2026-01-20,897388.4744406912,1788025.9909087392
2026-01-21,897388.4744406912,1805079.1132775517
2026-01-22,897388.4744406912,1816313.7582951756
2026-01-23,1035796.7163106124,1821455.991198651
2026-01-26,1035796.7163106124,1828853.602579228
2026-01-27,1035796.7163106124,1830326.2123547713
2026-01-28,1035796.7163106124,1839552.2298613708
2026-01-29,1163373.143168607,1850836.3431178716
2026-01-30,1163373.143168607,1864829.4729272511
2026-02-02,1292165.0376483586,1854670.3316127446
2026-02-03,819665.311448465,1863786.8814643724
2026-02-04,819665.311448465,1853164.2070993287
2026-02-05,819665.311448465,1831896.5985692842
2026-02-06,819665.311448465,1823904.302174936
2026-02-09,819665.311448465,1858277.779891382
2026-02-10,819665.311448465,1862628.0267680984
