factor,signal_date,date,n_stocks,raw_ic,rank_ic
momentum,2002-12-31,2003-01-31,48,0.010622398254910865,0.12196379628341529
momentum,2003-01-31,2003-02-28,48,-0.26861442403037566,-0.3419295418887822
momentum,2003-02-28,2003-03-31,48,-0.08620509001600211,-0.11984368215371255
momentum,2003-03-31,2003-04-30,48,-0.15442966716801318,-0.1316760746851932
momentum,2003-04-30,2003-05-31,48,-0.2761648158040105,-0.3113330438558402
momentum,2003-05-31,2003-06-30,48,-0.2070999591871,-0.23643074250976986
momentum,2003-06-30,2003-07-31,48,-0.3845558484541687,-0.31687790062420046
momentum,2003-07-31,2003-08-31,49,-0.221029255122462,-0.26765988936998686
momentum,2003-08-31,2003-09-30,49,0.09970588117264437,0.04852164597614517
momentum,2003-09-30,2003-10-31,49,0.23243245307574303,0.2743877551020408
momentum,2003-10-31,2003-11-30,49,-0.12283131125451258,-0.2266384347276938
momentum,2003-11-30,2003-12-31,49,0.14763131076426822,0.193729431936302
momentum,2003-12-31,2004-01-31,49,0.006425716367035,0.0010205123024872196
momentum,2004-01-31,2004-02-29,49,0.053951311629743,0.11397959183673469
momentum,2004-02-29,2004-03-31,49,-0.022351843356878846,0.04265306122448979
momentum,2004-03-31,2004-04-30,49,0.2564587939791692,0.19642857142857142
momentum,2004-04-30,2004-05-31,49,-0.046036613964892205,-0.04265306122448979
momentum,2004-05-31,2004-06-30,49,-0.41761932954280506,-0.43501109736342136
momentum,2004-06-30,2004-07-31,49,0.32529254297003407,0.2391060324727556
momentum,2004-07-31,2004-08-31,49,0.08194219805779873,0.06071583460737407
momentum,2004-08-31,2004-09-30,49,0.40137622625732605,0.23989795918367343
momentum,2004-09-30,2004-10-31,49,-0.18303722330898076,-0.2154121019349438
momentum,2004-10-31,2004-11-30,49,-0.08349536920840613,-0.12499999999999999
momentum,2004-11-30,2004-12-31,49,-0.074116794640985,-0.0736734693877551
momentum,2004-12-31,2005-01-31,49,0.04034110749908508,0.3638775510204081
momentum,2005-01-31,2005-02-28,49,-0.07254032801226944,0.05553854730741702
momentum,2005-02-28,2005-03-31,50,-0.06247405255330511,-0.06429771908763504
momentum,2005-03-31,2005-04-30,50,-0.08937255185291872,-0.0974309723889556
momentum,2005-04-30,2005-05-31,50,0.10725553426174854,-0.08340936374549819
momentum,2005-05-31,2005-06-30,50,0.15392498901431936,0.005138548743867141
momentum,2005-06-30,2005-07-31,53,-0.0004925652786612919,0.17025822971991997
momentum,2005-07-31,2005-08-31,53,-0.19361219508478072,-0.013874325561797246
momentum,2005-08-31,2005-09-30,53,-0.13624639751178752,0.1423157555233027
momentum,2005-09-30,2005-10-31,53,-0.021524967430518342,-0.15618763484133788
momentum,2005-10-31,2005-11-30,53,0.08299147473418761,0.039106595710369285
momentum,2005-11-30,2005-12-31,53,-0.13415844228999077,-0.014272179332429948
momentum,2005-12-31,2006-01-31,53,-0.14733116706061147,0.32712465731333656
momentum,2006-01-31,2006-02-28,53,-0.0611877611194049,-0.05055636187711659
momentum,2006-02-28,2006-03-31,53,-0.26378682673593506,-0.2606031285276568
momentum,2006-03-31,2006-04-30,53,0.0034222406569155974,0.1552294174871983
momentum,2006-04-30,2006-05-31,53,-0.17878596927606788,-0.2299629092081922
