factor,signal_date,ticker,method,weight
roe,2023-11-30,EKGYO,portfolio_sort,-0.06666666666666667
roe,2023-11-30,ENKAI,portfolio_sort,-0.06666666666666667
roe,2023-11-30,GOZDE,portfolio_sort,-0.06666666666666667
roe,2023-11-30,GUBRF,portfolio_sort,-0.06666666666666667
roe,2023-11-30,HURGZ,portfolio_sort,-0.06666666666666667
roe,2023-11-30,INDES,portfolio_sort,-0.06666666666666667
roe,2023-11-30,KRDMD,portfolio_sort,-0.06666666666666667
roe,2023-11-30,PETKM,portfolio_sort,-0.06666666666666667
roe,2023-11-30,SELEC,portfolio_sort,-0.06666666666666667
roe,2023-11-30,VESTL,portfolio_sort,-0.06666666666666667
roe,2023-12-31,AKBNK,portfolio_sort,0.06666666666666667
roe,2023-12-31,ALARK,portfolio_sort,0.06666666666666667
roe,2023-12-31,ANHYT,portfolio_sort,0.06666666666666667
roe,2023-12-31,CLEBI,portfolio_sort,0.06666666666666667
roe,2023-12-31,DOAS,portfolio_sort,0.06666666666666667
roe,2023-12-31,FROTO,portfolio_sort,0.06666666666666667
roe,2023-12-31,GARAN,portfolio_sort,0.06666666666666667
roe,2023-12-31,ISGYO,portfolio_sort,0.06666666666666667
roe,2023-12-31,IZMDC,portfolio_sort,0.06666666666666667
roe,2023-12-31,PGSUS,portfolio_sort,0.06666666666666667
roe,2023-12-31,TKNSA,portfolio_sort,0.06666666666666667
roe,2023-12-31,TOASO,portfolio_sort,0.06666666666666667
roe,2023-12-31,TTRAK,portfolio_sort,0.06666666666666667
roe,2023-12-31,TUPRS,portfolio_sort,0.06666666666666667
roe,2023-12-31,YKBNK,portfolio_sort,0.06666666666666667
roe,2023-12-31,ADEL,portfolio_sort,-0.06666666666666667
roe,2023-12-31,AKGRT,portfolio_sort,-0.06666666666666667
roe,2023-12-31,ASELS,portfolio_sort,-0.06666666666666667
roe,2023-12-31,BANVT,portfolio_sort,-0.06666666666666667
